Date,Day,Destination_Location,Fastest_Route_Distance,Fastest_Route_Name,Fastest_Route_Time,Holiday,Special_Condition,Starting_Location,Sys_Time,Weather,Data_prediction
13/02/2020,Thursday,salt_and_pepper,3900,Jinnah Ave,300,no,no,roshan_plaza,00:03:25,Showers,slightly congested
13/02/2020,Thursday,bar_bq_tonight,1600,Jinnah Ave,120,no,no,salt_and_pepper,00:03:32,Showers,smooth
13/02/2020,Thursday,D_chowk,2100,A.K. Fazl-ul-Haq Rd and Jinnah Ave,300,no,no,bar_bq_tonight,00:03:39,Showers,slightly congested
13/02/2020,Thursday,childrens_park,1000,Nazim-ud-din Rd,120,no,no,bahria_foundation_school,00:05:04,Showers,highly congested
13/02/2020,Thursday,pak_turk_maarif_international_school,1000,Nazim-ud-din Rd,120,no,no,childrens_park,00:05:14,Showers,highly congested
13/02/2020,Thursday,jamia_masjid,1400,Nazim-ud-din Rd,120,no,no,pak_turk_maarif_international_school,00:05:23,Showers,smooth
13/02/2020,Thursday,missile_chowk,1200,Nazim-ud-din Rd,120,no,no,jamia_masjid,00:05:32,Showers,smooth
13/02/2020,Thursday,capital_gymkhana,1100,Jinnah Avenue,60,no,no,missile_chowk,00:05:40,Showers,smooth
13/02/2020,Thursday,9th_avenue,1000,Jinnah Avenue,120,no,no,capital_gymkhana,00:05:48,Showers,highly congested
13/02/2020,Thursday,centaurus,1300,Jinnah Avenue,120,no,no,9th_avenue,00:05:56,Showers,highly congested
13/02/2020,Thursday,crown_plaza,1000,Jinnah Avenue and Faisal Avenue Flyover,60,no,no,centaurus,00:06:03,Showers,smooth
13/02/2020,Thursday,roshan_plaza,2700,Jinnah Ave,180,no,no,crown_plaza,00:06:12,Showers,smooth
13/02/2020,Thursday,salt_and_pepper,3900,Jinnah Ave,300,no,no,roshan_plaza,00:06:18,Showers,slightly congested
13/02/2020,Thursday,bar_bq_tonight,1600,Jinnah Ave,120,no,no,salt_and_pepper,00:06:26,Showers,smooth
13/02/2020,Thursday,D_chowk,2100,A.K. Fazl-ul-Haq Rd and Jinnah Ave,300,no,no,bar_bq_tonight,00:06:32,Showers,slightly congested
13/02/2020,Thursday,childrens_park,1000,Nazim-ud-din Rd,120,no,no,bahria_foundation_school,00:07:57,Showers,highly congested
13/02/2020,Thursday,pak_turk_maarif_international_school,1000,Nazim-ud-din Rd,120,no,no,childrens_park,00:08:06,Showers,highly congested
13/02/2020,Thursday,jamia_masjid,1400,Nazim-ud-din Rd,120,no,no,pak_turk_maarif_international_school,00:08:14,Showers,smooth
13/02/2020,Thursday,missile_chowk,1200,Nazim-ud-din Rd,120,no,no,jamia_masjid,00:08:21,Showers,smooth
13/02/2020,Thursday,capital_gymkhana,1100,Jinnah Avenue,60,no,no,missile_chowk,00:08:29,Showers,smooth
13/02/2020,Thursday,9th_avenue,1000,Jinnah Avenue,120,no,no,capital_gymkhana,00:08:37,Showers,highly congested
13/02/2020,Thursday,centaurus,1300,Jinnah Avenue,120,no,no,9th_avenue,00:08:45,Showers,highly congested
13/02/2020,Thursday,crown_plaza,1000,Jinnah Avenue and Faisal Avenue Flyover,60,no,no,centaurus,00:08:52,Showers,smooth
13/02/2020,Thursday,missile_chowk,1200,Nazim-ud-din Rd,120,no,no,jamia_masjid,02:09:47,Cloudy,smooth
13/02/2020,Thursday,capital_gymkhana,1100,Jinnah Avenue,60,no,no,missile_chowk,02:09:54,Cloudy,smooth
13/02/2020,Thursday,9th_avenue,1000,Jinnah Avenue,120,no,no,capital_gymkhana,02:10:03,Cloudy,highly congested
13/02/2020,Thursday,centaurus,1300,Jinnah Avenue,120,no,no,9th_avenue,02:10:11,Cloudy,highly congested
13/02/2020,Thursday,crown_plaza,1000,Jinnah Avenue and Faisal Avenue Flyover,60,no,no,centaurus,02:10:19,Cloudy,smooth
13/02/2020,Thursday,roshan_plaza,2700,Jinnah Ave,180,no,no,crown_plaza,02:10:27,Cloudy,smooth
13/02/2020,Thursday,salt_and_pepper,3900,Jinnah Ave,240,no,no,roshan_plaza,02:10:35,Cloudy,smooth
13/02/2020,Thursday,bar_bq_tonight,1600,Jinnah Ave,120,no,no,salt_and_pepper,02:10:42,Cloudy,smooth
13/02/2020,Thursday,D_chowk,2100,A.K. Fazl-ul-Haq Rd and Jinnah Ave,240,no,no,bar_bq_tonight,02:10:48,Cloudy,smooth
13/02/2020,Thursday,childrens_park,1000,Nazim-ud-din Rd,120,no,no,bahria_foundation_school,02:12:07,Cloudy,highly congested
13/02/2020,Thursday,pak_turk_maarif_international_school,1000,Nazim-ud-din Rd,120,no,no,childrens_park,02:12:17,Cloudy,highly congested
13/02/2020,Thursday,jamia_masjid,1400,Nazim-ud-din Rd,120,no,no,pak_turk_maarif_international_school,02:12:26,Cloudy,smooth
13/02/2020,Thursday,missile_chowk,1200,Nazim-ud-din Rd,120,no,no,jamia_masjid,02:12:34,Cloudy,smooth
13/02/2020,Thursday,capital_gymkhana,1100,Jinnah Avenue,60,no,no,missile_chowk,02:12:43,Cloudy,smooth
13/02/2020,Thursday,9th_avenue,1000,Jinnah Avenue,60,no,no,capital_gymkhana,02:12:51,Cloudy,smooth
13/02/2020,Thursday,centaurus,1300,Jinnah Avenue,120,no,no,9th_avenue,02:13:00,Cloudy,highly congested
13/02/2020,Thursday,crown_plaza,1000,Jinnah Avenue and Faisal Avenue Flyover,60,no,no,centaurus,02:13:07,Cloudy,smooth
13/02/2020,Thursday,roshan_plaza,2700,Jinnah Ave,180,no,no,crown_plaza,02:13:14,Cloudy,smooth
13/02/2020,Thursday,salt_and_pepper,3900,Jinnah Ave,240,no,no,roshan_plaza,02:13:22,Cloudy,smooth
13/02/2020,Thursday,bar_bq_tonight,1600,Jinnah Ave,120,no,no,salt_and_pepper,02:13:30,Cloudy,smooth
13/02/2020,Thursday,D_chowk,2100,A.K. Fazl-ul-Haq Rd and Jinnah Ave,240,no,no,bar_bq_tonight,02:13:36,Cloudy,smooth
13/02/2020,Thursday,childrens_park,1000,Nazim-ud-din Rd,120,no,no,bahria_foundation_school,02:14:55,Cloudy,highly congested
13/02/2020,Thursday,pak_turk_maarif_international_school,1000,Nazim-ud-din Rd,120,no,no,childrens_park,02:15:03,Cloudy,highly congested
13/02/2020,Thursday,jamia_masjid,1400,Nazim-ud-din Rd,120,no,no,pak_turk_maarif_international_school,02:15:11,Cloudy,smooth
13/02/2020,Thursday,missile_chowk,1200,Nazim-ud-din Rd,120,no,no,jamia_masjid,02:15:20,Cloudy,smooth
13/02/2020,Thursday,capital_gymkhana,1100,Jinnah Avenue,60,no,no,missile_chowk,02:15:28,Cloudy,smooth
13/02/2020,Thursday,9th_avenue,1000,Jinnah Avenue,120,no,no,capital_gymkhana,02:15:37,Cloudy,highly congested
13/02/2020,Thursday,centaurus,1300,Jinnah Avenue,120,no,no,9th_avenue,02:15:46,Cloudy,highly congested
13/02/2020,Thursday,crown_plaza,1000,Jinnah Avenue and Faisal Avenue Flyover,60,no,no,centaurus,02:15:54,Cloudy,smooth
13/02/2020,Thursday,roshan_plaza,2700,Jinnah Ave,180,no,no,crown_plaza,02:16:02,Cloudy,smooth
13/02/2020,Thursday,salt_and_pepper,3900,Jinnah Ave,240,no,no,roshan_plaza,02:16:10,Cloudy,smooth
13/02/2020,Thursday,bar_bq_tonight,1600,Jinnah Ave,120,no,no,salt_and_pepper,02:16:17,Cloudy,smooth
13/02/2020,Thursday,D_chowk,2100,A.K. Fazl-ul-Haq Rd and Jinnah Ave,240,no,no,bar_bq_tonight,02:16:24,Cloudy,smooth
13/02/2020,Thursday,childrens_park,1000,Nazim-ud-din Rd,120,no,no,bahria_foundation_school,02:17:38,Cloudy,highly congested
13/02/2020,Thursday,pak_turk_maarif_international_school,1000,Nazim-ud-din Rd,120,no,no,childrens_park,02:17:47,Cloudy,highly congested
13/02/2020,Thursday,jamia_masjid,1400,Nazim-ud-din Rd,120,no,no,pak_turk_maarif_international_school,02:17:57,Cloudy,smooth
13/02/2020,Thursday,missile_chowk,1200,Nazim-ud-din Rd,120,no,no,jamia_masjid,02:18:05,Cloudy,smooth
13/02/2020,Thursday,capital_gymkhana,1100,Jinnah Avenue,60,no,no,missile_chowk,02:18:11,Cloudy,smooth
13/02/2020,Thursday,9th_avenue,1000,Jinnah Avenue,120,no,no,capital_gymkhana,02:18:20,Cloudy,highly congested
13/02/2020,Thursday,centaurus,1300,Jinnah Avenue,120,no,no,9th_avenue,02:18:29,Cloudy,highly congested
13/02/2020,Thursday,crown_plaza,1000,Jinnah Avenue and Faisal Avenue Flyover,60,no,no,centaurus,02:18:36,Cloudy,smooth
13/02/2020,Thursday,roshan_plaza,2700,Jinnah Ave,180,no,no,crown_plaza,02:18:44,Cloudy,smooth
13/02/2020,Thursday,salt_and_pepper,3900,Jinnah Ave,240,no,no,roshan_plaza,02:18:52,Cloudy,smooth
13/02/2020,Thursday,bar_bq_tonight,1600,Jinnah Ave,120,no,no,salt_and_pepper,02:19:00,Cloudy,smooth
13/02/2020,Thursday,D_chowk,2100,A.K. Fazl-ul-Haq Rd and Jinnah Ave,240,no,no,bar_bq_tonight,02:19:07,Cloudy,smooth
13/02/2020,Thursday,childrens_park,1000,Nazim-ud-din Rd,120,no,no,bahria_foundation_school,02:20:30,Cloudy,highly congested
13/02/2020,Thursday,pak_turk_maarif_international_school,1000,Nazim-ud-din Rd,120,no,no,childrens_park,02:20:38,Cloudy,highly congested
13/02/2020,Thursday,jamia_masjid,1400,Nazim-ud-din Rd,120,no,no,pak_turk_maarif_international_school,02:20:47,Cloudy,smooth
13/02/2020,Thursday,missile_chowk,1200,Nazim-ud-din Rd,120,no,no,jamia_masjid,02:20:55,Cloudy,smooth
13/02/2020,Thursday,capital_gymkhana,1100,Jinnah Avenue,60,no,no,missile_chowk,02:21:03,Cloudy,smooth
13/02/2020,Thursday,9th_avenue,1000,Jinnah Avenue,120,no,no,capital_gymkhana,02:21:11,Cloudy,highly congested
13/02/2020,Thursday,centaurus,1300,Jinnah Avenue,120,no,no,9th_avenue,02:21:19,Cloudy,highly congested
13/02/2020,Thursday,crown_plaza,1000,Jinnah Avenue and Faisal Avenue Flyover,60,no,no,centaurus,02:21:27,Cloudy,smooth
13/02/2020,Thursday,roshan_plaza,2700,Jinnah Ave,180,no,no,crown_plaza,02:21:35,Cloudy,smooth
13/02/2020,Thursday,pak_turk_maarif_international_school,1000,Nazim-ud-din Rd,120,no,no,childrens_park,02:34:31,Cloudy,highly congested
13/02/2020,Thursday,jamia_masjid,1400,Nazim-ud-din Rd,120,no,no,pak_turk_maarif_international_school,02:34:39,Cloudy,smooth
13/02/2020,Thursday,missile_chowk,1200,Nazim-ud-din Rd,120,no,no,jamia_masjid,02:34:47,Cloudy,smooth
13/02/2020,Thursday,capital_gymkhana,1100,Jinnah Avenue,60,no,no,missile_chowk,02:34:55,Cloudy,smooth
13/02/2020,Thursday,9th_avenue,1000,Jinnah Avenue,120,no,no,capital_gymkhana,02:35:03,Cloudy,highly congested
13/02/2020,Thursday,centaurus,1300,Jinnah Avenue,120,no,no,9th_avenue,02:35:11,Cloudy,highly congested
13/02/2020,Thursday,crown_plaza,1000,Jinnah Avenue and Faisal Avenue Flyover,60,no,no,centaurus,02:35:19,Cloudy,smooth
13/02/2020,Thursday,roshan_plaza,2700,Jinnah Ave,180,no,no,crown_plaza,02:35:27,Cloudy,smooth
13/02/2020,Thursday,salt_and_pepper,3900,Jinnah Ave,240,no,no,roshan_plaza,02:35:36,Cloudy,smooth
13/02/2020,Thursday,bar_bq_tonight,1600,Jinnah Ave,120,no,no,salt_and_pepper,02:35:43,Cloudy,smooth
13/02/2020,Thursday,D_chowk,2100,A.K. Fazl-ul-Haq Rd and Jinnah Ave,240,no,no,bar_bq_tonight,02:35:50,Cloudy,smooth
13/02/2020,Thursday,childrens_park,1000,Nazim-ud-din Rd,120,no,no,bahria_foundation_school,02:37:10,Cloudy,highly congested
13/02/2020,Thursday,pak_turk_maarif_international_school,1000,Nazim-ud-din Rd,120,no,no,childrens_park,02:37:19,Cloudy,highly congested
13/02/2020,Thursday,jamia_masjid,1400,Nazim-ud-din Rd,120,no,no,pak_turk_maarif_international_school,02:37:28,Cloudy,smooth
13/02/2020,Thursday,missile_chowk,1200,Nazim-ud-din Rd,120,no,no,jamia_masjid,02:37:37,Cloudy,smooth
13/02/2020,Thursday,capital_gymkhana,1100,Jinnah Avenue,60,no,no,missile_chowk,02:37:46,Cloudy,smooth
13/02/2020,Thursday,9th_avenue,1000,Jinnah Avenue,120,no,no,capital_gymkhana,02:37:53,Cloudy,highly congested
13/02/2020,Thursday,centaurus,1300,Jinnah Avenue,120,no,no,9th_avenue,02:38:01,Cloudy,highly congested
13/02/2020,Thursday,crown_plaza,1000,Jinnah Avenue and Faisal Avenue Flyover,60,no,no,centaurus,02:38:09,Cloudy,smooth
13/02/2020,Thursday,roshan_plaza,2700,Jinnah Ave,180,no,no,crown_plaza,02:38:16,Cloudy,smooth
13/02/2020,Thursday,salt_and_pepper,3900,Jinnah Ave,240,no,no,roshan_plaza,02:38:23,Cloudy,smooth
13/02/2020,Thursday,bar_bq_tonight,1600,Jinnah Ave,120,no,no,salt_and_pepper,02:38:31,Cloudy,smooth
13/02/2020,Thursday,D_chowk,2100,A.K. Fazl-ul-Haq Rd and Jinnah Ave,240,no,no,bar_bq_tonight,02:38:38,Cloudy,smooth
13/02/2020,Thursday,childrens_park,1000,Nazim-ud-din Rd,120,no,no,bahria_foundation_school,02:39:58,Cloudy,highly congested
13/02/2020,Thursday,pak_turk_maarif_international_school,1000,Nazim-ud-din Rd,120,no,no,childrens_park,02:40:08,Cloudy,highly congested
13/02/2020,Thursday,jamia_masjid,1400,Nazim-ud-din Rd,120,no,no,pak_turk_maarif_international_school,02:40:17,Cloudy,smooth
13/02/2020,Thursday,missile_chowk,1200,Nazim-ud-din Rd,120,no,no,jamia_masjid,02:40:25,Cloudy,smooth
13/02/2020,Thursday,capital_gymkhana,1100,Jinnah Avenue,60,no,no,missile_chowk,02:40:34,Cloudy,smooth
13/02/2020,Thursday,9th_avenue,1000,Jinnah Avenue,120,no,no,capital_gymkhana,02:40:42,Cloudy,highly congested
13/02/2020,Thursday,centaurus,1300,Jinnah Avenue,120,no,no,9th_avenue,02:40:50,Cloudy,highly congested
13/02/2020,Thursday,crown_plaza,1000,Jinnah Avenue and Faisal Avenue Flyover,60,no,no,centaurus,02:40:57,Cloudy,smooth
13/02/2020,Thursday,roshan_plaza,2700,Jinnah Ave,180,no,no,crown_plaza,02:41:04,Cloudy,smooth
13/02/2020,Thursday,salt_and_pepper,3900,Jinnah Ave,240,no,no,roshan_plaza,02:41:12,Cloudy,smooth
13/02/2020,Thursday,bar_bq_tonight,1600,Jinnah Ave,120,no,no,salt_and_pepper,02:41:19,Cloudy,smooth
13/02/2020,Thursday,D_chowk,2100,A.K. Fazl-ul-Haq Rd and Jinnah Ave,240,no,no,bar_bq_tonight,02:41:25,Cloudy,smooth
13/02/2020,Thursday,childrens_park,1000,Nazim-ud-din Rd,120,no,no,bahria_foundation_school,02:42:44,Cloudy,highly congested
13/02/2020,Thursday,pak_turk_maarif_international_school,1000,Nazim-ud-din Rd,120,no,no,childrens_park,02:42:52,Cloudy,highly congested
13/02/2020,Thursday,jamia_masjid,1400,Nazim-ud-din Rd,120,no,no,pak_turk_maarif_international_school,02:43:00,Cloudy,smooth
13/02/2020,Thursday,missile_chowk,1200,Nazim-ud-din Rd,120,no,no,jamia_masjid,02:43:08,Cloudy,smooth
13/02/2020,Thursday,capital_gymkhana,1100,Jinnah Avenue,60,no,no,missile_chowk,02:43:16,Cloudy,smooth
13/02/2020,Thursday,9th_avenue,1000,Jinnah Avenue,120,no,no,capital_gymkhana,02:43:23,Cloudy,highly congested
13/02/2020,Thursday,centaurus,1300,Jinnah Avenue,120,no,no,9th_avenue,02:43:33,Cloudy,highly congested
13/02/2020,Thursday,crown_plaza,1000,Jinnah Avenue and Faisal Avenue Flyover,60,no,no,centaurus,02:43:39,Cloudy,smooth
13/02/2020,Thursday,roshan_plaza,2700,Jinnah Ave,180,no,no,crown_plaza,02:43:47,Cloudy,smooth
13/02/2020,Thursday,salt_and_pepper,3900,Jinnah Ave,240,no,no,roshan_plaza,02:43:54,Cloudy,smooth
13/02/2020,Thursday,bar_bq_tonight,1600,Jinnah Ave,120,no,no,salt_and_pepper,02:44:02,Cloudy,smooth
13/02/2020,Thursday,D_chowk,2100,A.K. Fazl-ul-Haq Rd and Jinnah Ave,240,no,no,bar_bq_tonight,02:44:09,Cloudy,smooth
13/02/2020,Thursday,childrens_park,1000,Nazim-ud-din Rd,120,no,no,bahria_foundation_school,02:45:33,Cloudy,highly congested
13/02/2020,Thursday,pak_turk_maarif_international_school,1000,Nazim-ud-din Rd,120,no,no,childrens_park,02:45:42,Cloudy,highly congested
13/02/2020,Thursday,jamia_masjid,1400,Nazim-ud-din Rd,120,no,no,pak_turk_maarif_international_school,02:45:50,Cloudy,smooth
13/02/2020,Thursday,missile_chowk,1200,Nazim-ud-din Rd,120,no,no,jamia_masjid,02:45:58,Cloudy,smooth
13/02/2020,Thursday,capital_gymkhana,1100,Jinnah Avenue,60,no,no,missile_chowk,02:46:06,Cloudy,smooth
13/02/2020,Thursday,9th_avenue,1000,Jinnah Avenue,120,no,no,capital_gymkhana,02:46:14,Cloudy,highly congested
13/02/2020,Thursday,centaurus,1300,Jinnah Avenue,120,no,no,9th_avenue,02:46:22,Cloudy,highly congested
13/02/2020,Thursday,crown_plaza,1000,Jinnah Avenue and Faisal Avenue Flyover,60,no,no,centaurus,02:46:29,Cloudy,smooth
13/02/2020,Thursday,roshan_plaza,2700,Jinnah Ave,180,no,no,crown_plaza,02:46:36,Cloudy,smooth
13/02/2020,Thursday,salt_and_pepper,3900,Jinnah Ave,240,no,no,roshan_plaza,02:46:44,Cloudy,smooth
13/02/2020,Thursday,bar_bq_tonight,1600,Jinnah Ave,120,no,no,salt_and_pepper,02:46:50,Cloudy,smooth
13/02/2020,Thursday,D_chowk,2100,A.K. Fazl-ul-Haq Rd and Jinnah Ave,240,no,no,bar_bq_tonight,02:46:57,Cloudy,smooth
13/02/2020,Thursday,childrens_park,1000,Nazim-ud-din Rd,120,no,no,bahria_foundation_school,02:48:15,Cloudy,highly congested
13/02/2020,Thursday,pak_turk_maarif_international_school,1000,Nazim-ud-din Rd,120,no,no,childrens_park,02:48:23,Cloudy,highly congested
13/02/2020,Thursday,jamia_masjid,1400,Nazim-ud-din Rd,120,no,no,pak_turk_maarif_international_school,02:48:32,Cloudy,smooth
13/02/2020,Thursday,missile_chowk,1200,Nazim-ud-din Rd,120,no,no,jamia_masjid,02:48:40,Cloudy,smooth
13/02/2020,Thursday,capital_gymkhana,1100,Jinnah Avenue,60,no,no,missile_chowk,02:48:48,Cloudy,smooth
13/02/2020,Thursday,9th_avenue,1000,Jinnah Avenue,120,no,no,capital_gymkhana,02:48:57,Cloudy,highly congested
13/02/2020,Thursday,centaurus,1300,Jinnah Avenue,120,no,no,9th_avenue,02:49:05,Cloudy,highly congested
13/02/2020,Thursday,9th_avenue,1000,Jinnah Avenue,60,no,no,capital_gymkhana,03:14:09,Cloudy,smooth
13/02/2020,Thursday,centaurus,1300,Jinnah Avenue,120,no,no,9th_avenue,03:14:18,Cloudy,highly congested
13/02/2020,Thursday,crown_plaza,1000,Jinnah Avenue and Faisal Avenue Flyover,60,no,no,centaurus,03:14:26,Cloudy,smooth
13/02/2020,Thursday,roshan_plaza,2700,Jinnah Ave,180,no,no,crown_plaza,03:14:33,Cloudy,smooth
13/02/2020,Thursday,salt_and_pepper,3900,Jinnah Ave,240,no,no,roshan_plaza,03:14:41,Cloudy,smooth
13/02/2020,Thursday,bar_bq_tonight,1600,Jinnah Ave,120,no,no,salt_and_pepper,03:14:47,Cloudy,smooth
13/02/2020,Thursday,D_chowk,2100,A.K. Fazl-ul-Haq Rd and Jinnah Ave,240,no,no,bar_bq_tonight,03:14:55,Cloudy,smooth
13/02/2020,Thursday,childrens_park,1000,Nazim-ud-din Rd,120,no,no,bahria_foundation_school,03:16:08,Cloudy,highly congested
13/02/2020,Thursday,pak_turk_maarif_international_school,1000,Nazim-ud-din Rd,120,no,no,childrens_park,03:16:18,Cloudy,highly congested
13/02/2020,Thursday,jamia_masjid,1400,Nazim-ud-din Rd,120,no,no,pak_turk_maarif_international_school,03:16:28,Cloudy,smooth
13/02/2020,Thursday,missile_chowk,1200,Nazim-ud-din Rd,120,no,no,jamia_masjid,03:16:38,Cloudy,smooth
13/02/2020,Thursday,capital_gymkhana,1100,Jinnah Avenue,60,no,no,missile_chowk,03:16:45,Cloudy,smooth
13/02/2020,Thursday,9th_avenue,1000,Jinnah Avenue,60,no,no,capital_gymkhana,03:16:54,Cloudy,smooth
13/02/2020,Thursday,centaurus,1300,Jinnah Avenue,120,no,no,9th_avenue,03:17:02,Cloudy,highly congested
13/02/2020,Thursday,crown_plaza,1000,Jinnah Avenue and Faisal Avenue Flyover,60,no,no,centaurus,03:17:09,Cloudy,smooth
13/02/2020,Thursday,roshan_plaza,2700,Jinnah Ave,180,no,no,crown_plaza,03:17:17,Cloudy,smooth
13/02/2020,Thursday,salt_and_pepper,3900,Jinnah Ave,240,no,no,roshan_plaza,03:17:25,Cloudy,smooth
13/02/2020,Thursday,bar_bq_tonight,1600,Jinnah Ave,120,no,no,salt_and_pepper,03:17:31,Cloudy,smooth
13/02/2020,Thursday,D_chowk,2100,A.K. Fazl-ul-Haq Rd and Jinnah Ave,300,no,no,bar_bq_tonight,03:17:38,Cloudy,slightly congested
13/02/2020,Thursday,childrens_park,1000,Nazim-ud-din Rd,120,no,no,bahria_foundation_school,03:18:56,Cloudy,highly congested
13/02/2020,Thursday,pak_turk_maarif_international_school,1000,Nazim-ud-din Rd,120,no,no,childrens_park,03:19:04,Cloudy,highly congested
13/02/2020,Thursday,jamia_masjid,1400,Nazim-ud-din Rd,120,no,no,pak_turk_maarif_international_school,03:19:13,Cloudy,smooth
13/02/2020,Thursday,missile_chowk,1200,Nazim-ud-din Rd,120,no,no,jamia_masjid,03:19:21,Cloudy,smooth
13/02/2020,Thursday,capital_gymkhana,1100,Jinnah Avenue,60,no,no,missile_chowk,03:19:30,Cloudy,smooth
13/02/2020,Thursday,9th_avenue,1000,Jinnah Avenue,60,no,no,capital_gymkhana,03:19:38,Cloudy,smooth
13/02/2020,Thursday,centaurus,1300,Jinnah Avenue,120,no,no,9th_avenue,03:19:47,Cloudy,highly congested
13/02/2020,Thursday,crown_plaza,1000,Jinnah Avenue and Faisal Avenue Flyover,60,no,no,centaurus,03:19:54,Cloudy,smooth
13/02/2020,Thursday,roshan_plaza,2700,Jinnah Ave,180,no,no,crown_plaza,03:20:01,Cloudy,smooth
13/02/2020,Thursday,salt_and_pepper,3900,Jinnah Ave,240,no,no,roshan_plaza,03:20:09,Cloudy,smooth
13/02/2020,Thursday,bar_bq_tonight,1600,Jinnah Ave,120,no,no,salt_and_pepper,03:20:16,Cloudy,smooth
13/02/2020,Thursday,D_chowk,2100,A.K. Fazl-ul-Haq Rd and Jinnah Ave,240,no,no,bar_bq_tonight,03:20:22,Cloudy,smooth
13/02/2020,Thursday,childrens_park,1000,Nazim-ud-din Rd,120,no,no,bahria_foundation_school,03:21:40,Cloudy,highly congested
13/02/2020,Thursday,pak_turk_maarif_international_school,1000,Nazim-ud-din Rd,120,no,no,childrens_park,03:21:50,Cloudy,highly congested
13/02/2020,Thursday,jamia_masjid,1400,Nazim-ud-din Rd,120,no,no,pak_turk_maarif_international_school,03:21:59,Cloudy,smooth
13/02/2020,Thursday,missile_chowk,1200,Nazim-ud-din Rd,120,no,no,jamia_masjid,03:22:07,Cloudy,smooth
13/02/2020,Thursday,capital_gymkhana,1100,Jinnah Avenue,60,no,no,missile_chowk,03:22:16,Cloudy,smooth
13/02/2020,Thursday,9th_avenue,1000,Jinnah Avenue,60,no,no,capital_gymkhana,03:22:24,Cloudy,smooth
13/02/2020,Thursday,centaurus,1300,Jinnah Avenue,120,no,no,9th_avenue,03:22:31,Cloudy,highly congested
13/02/2020,Thursday,crown_plaza,1000,Jinnah Avenue and Faisal Avenue Flyover,60,no,no,centaurus,03:22:40,Cloudy,smooth
13/02/2020,Thursday,roshan_plaza,2700,Jinnah Ave,180,no,no,crown_plaza,03:22:47,Cloudy,smooth
13/02/2020,Thursday,salt_and_pepper,3900,Jinnah Ave,240,no,no,roshan_plaza,03:22:55,Cloudy,smooth
13/02/2020,Thursday,bar_bq_tonight,1600,Jinnah Ave,120,no,no,salt_and_pepper,03:23:00,Cloudy,smooth
13/02/2020,Thursday,D_chowk,2100,A.K. Fazl-ul-Haq Rd and Jinnah Ave,240,no,no,bar_bq_tonight,03:23:07,Cloudy,smooth
13/02/2020,Thursday,childrens_park,1000,Nazim-ud-din Rd,120,no,no,bahria_foundation_school,03:24:30,Cloudy,highly congested
13/02/2020,Thursday,pak_turk_maarif_international_school,1000,Nazim-ud-din Rd,120,no,no,childrens_park,03:24:39,Cloudy,highly congested
13/02/2020,Thursday,jamia_masjid,1400,Nazim-ud-din Rd,120,no,no,pak_turk_maarif_international_school,03:24:47,Cloudy,smooth
13/02/2020,Thursday,missile_chowk,1200,Nazim-ud-din Rd,120,no,no,jamia_masjid,03:24:55,Cloudy,smooth
13/02/2020,Thursday,capital_gymkhana,1100,Jinnah Avenue,60,no,no,missile_chowk,03:25:03,Cloudy,smooth
